,date,spot_volume_daily_sum,spot_selling_volume_sum,spot_buying_volume_sum,AGG_Volume
728,2021-03-27 00:00:00+00:00,6879186112.1888075,3472099196.300224,3407086915.8885837,
729,2021-03-28 00:00:00+00:00,5801855687.988781,2976424556.2961264,2825431131.692655,
730,2021-03-29 00:00:00+00:00,9737235187.671213,4750960363.686938,4986274823.984274,323467289.99061584
731,2021-03-30 00:00:00+00:00,7896698011.888479,3863205059.1115007,4033492952.776979,339980715.95840454
732,2021-03-31 00:00:00+00:00,9254795093.398153,4638431238.103571,4616363855.294583,327236585.98709106
733,2021-04-01 00:00:00+00:00,6815257893.017983,3526917365.428696,3288340527.5892873,332769013.9808655
734,2021-04-02 00:00:00+00:00,7565098057.926267,3801478142.1061344,3763619915.8201323,
735,2021-04-03 00:00:00+00:00,7649860315.064183,3970344368.9975486,3679515946.066635,
736,2021-04-04 00:00:00+00:00,4587173915.293,2297205299.8486195,2289968615.4443808,
737,2021-04-05 00:00:00+00:00,6247612196.7758875,3125376685.82512,3122235510.950768,523288972.53990173
738,2021-04-06 00:00:00+00:00,7616366996.654598,3849862630.3820133,3766504366.2725844,358966660.4255676
739,2021-04-07 00:00:00+00:00,11123890409.850155,5592246571.608042,5531643838.242113,409820304.3708801
740,2021-04-08 00:00:00+00:00,5894538622.607882,2910771092.7028413,2983767529.9050407,220842716.5649414
741,2021-04-09 00:00:00+00:00,5580381745.326813,2801972967.1306043,2778408778.1962085,223524306.86950684
742,2021-04-10 00:00:00+00:00,9539356800.710005,4679814686.849333,4859542113.860672,
743,2021-04-11 00:00:00+00:00,5449290255.790031,2720875434.3594704,2728414821.4305615,
744,2021-04-12 00:00:00+00:00,7695723600.999169,3863203486.9082623,3832520114.0909076,426206347.9522705
745,2021-04-13 00:00:00+00:00,11654349901.525879,5532323429.568314,6122026471.957565,637940544.54422
746,2021-04-14 00:00:00+00:00,12887563512.099756,6554335444.603479,6333228067.496277,804285800.0
747,2021-04-15 00:00:00+00:00,7603672338.600668,3779592658.142521,3824079680.458147,364712609.4200134
748,2021-04-16 00:00:00+00:00,13224629900.071617,6695324633.853293,6529305266.218323,330211490.13404846
749,2021-04-17 00:00:00+00:00,8395020234.856204,4241799049.726288,4153221185.129916,
750,2021-04-18 00:00:00+00:00,21817396971.8736,11054459189.379583,10762937782.494017,
751,2021-04-19 00:00:00+00:00,10743140940.472757,5335516049.908598,5407624890.564159,620007894.865036
752,2021-04-20 00:00:00+00:00,10931634952.03435,5448007488.692521,5483627463.341829,362677436.0507965
753,2021-04-21 00:00:00+00:00,8988085113.286594,4679904338.171418,4308180775.115177,327798858.9706421
754,2021-04-22 00:00:00+00:00,15521459644.938519,8101179181.822228,7420280463.11629,658211067.1386719
755,2021-04-23 00:00:00+00:00,17246882741.753315,8945224947.393896,8301657794.359418,580865209.4974518
756,2021-04-24 00:00:00+00:00,7317102491.276475,3673172304.4078,3643930186.8686748,
757,2021-04-25 00:00:00+00:00,7707133127.1154175,4006317090.5311255,3700816036.584292,
758,2021-04-26 00:00:00+00:00,11375294364.447952,5547447724.594897,5827846639.853054,367091767.7799225
759,2021-04-27 00:00:00+00:00,7216583956.154377,3660274621.8295865,3556309334.3247905,240671658.94241333
760,2021-04-28 00:00:00+00:00,7902894990.244196,4004312318.411458,3898582671.832738,198438243.27697754
761,2021-04-29 00:00:00+00:00,7918683184.344592,3967599715.5693555,3951083468.775237,370049400.0
762,2021-04-30 00:00:00+00:00,9418559949.106083,4449530640.168067,4969029308.938016,352564978.5171509
763,2021-05-01 00:00:00+00:00,6384424442.751499,3200821685.806601,3183602756.9448977,
764,2021-05-02 00:00:00+00:00,5063932032.357039,2607680727.8167357,2456251304.5403037,
765,2021-05-03 00:00:00+00:00,8335618508.459534,4183291700.6070523,4152326807.8524814,361111130.5000305
766,2021-05-04 00:00:00+00:00,12265479639.319004,6333696844.430324,5931782794.88868,359784927.62145996
767,2021-05-05 00:00:00+00:00,10749045993.628077,5357414473.889565,5391631519.738511,411536900.27008057
768,2021-05-06 00:00:00+00:00,9913120906.18467,4988589552.372775,4924531353.811895,300314909.1644287
769,2021-05-07 00:00:00+00:00,9858295347.829819,4868844846.951573,4989450500.878244,343199111.819458
770,2021-05-08 00:00:00+00:00,10023480216.38238,4968470063.134914,5055010153.247465,
771,2021-05-09 00:00:00+00:00,10003880662.859974,5079014102.232737,4924866560.627238,
772,2021-05-10 00:00:00+00:00,13249915372.168642,6774070174.226855,6475845197.941787,384484066.61376953
773,2021-05-11 00:00:00+00:00,9044673887.795078,4589267107.822299,4455406779.97278,313764012.95928955
774,2021-05-12 00:00:00+00:00,13809875996.158337,7217174889.082751,6592701107.075586,501533120.5871582
775,2021-05-13 00:00:00+00:00,20924984056.67886,10638648494.865192,10286335561.81367,813984608.429718
776,2021-05-14 00:00:00+00:00,9414969521.233353,4806290427.403492,4608679093.829861,352933989.7315979
777,2021-05-15 00:00:00+00:00,10342849197.780212,5380106431.946702,4962742765.83351,
778,2021-05-16 00:00:00+00:00,13406286962.505676,6882507219.279728,6523779743.225949,
779,2021-05-17 00:00:00+00:00,19304144710.40946,9935011451.255468,9369133259.15399,636642800.0
780,2021-05-18 00:00:00+00:00,12613267800.47637,6415509157.682662,6197758642.793707,363850427.30407715
781,2021-05-19 00:00:00+00:00,37370663791.269806,19552687576.35527,17817976214.914536,991538733.5899353
782,2021-05-20 00:00:00+00:00,20881395572.544052,10311135913.513216,10570259659.030836,418396465.341568
783,2021-05-21 00:00:00+00:00,20902890634.89038,10715433092.399632,10187457542.490747,450329115.7072067
784,2021-05-22 00:00:00+00:00,12293266643.468279,6175514591.167532,6117752052.300748,
785,2021-05-23 00:00:00+00:00,20307899271.666553,10342440317.560339,9965458954.106215,
786,2021-05-24 00:00:00+00:00,14801429183.016806,7299872686.63424,7501556496.3825655,406499891.6038513
787,2021-05-25 00:00:00+00:00,10320967368.640568,5233444898.908893,5087522469.731676,271162457.9696655
788,2021-05-26 00:00:00+00:00,10168333066.305008,5161280339.128153,5007052727.176854,213478634.9182129
789,2021-05-27 00:00:00+00:00,8116863599.022732,4087950934.581963,4028912664.4407682,188329668.6882019
790,2021-05-28 00:00:00+00:00,11970110413.423502,6180366154.9149065,5789744258.5085945,299903273.18573
791,2021-05-29 00:00:00+00:00,9474937947.713318,4805477888.20447,4669460059.508847,
792,2021-05-30 00:00:00+00:00,6179583999.238967,3091726967.4593,3087857031.7796664,
793,2021-05-31 00:00:00+00:00,8020259634.42137,4011741991.430155,4008517642.9912148,
794,2021-06-01 00:00:00+00:00,7152600647.909872,3604910904.2411337,3547689743.668738,253338001.85165405
795,2021-06-02 00:00:00+00:00,6043179295.651407,2973455883.245827,3069723412.40558,194076442.38052368
796,2021-06-03 00:00:00+00:00,6440561891.710601,3183835684.948869,3256726206.7617316,222537900.0
797,2021-06-04 00:00:00+00:00,7716686609.1698475,4047005248.9062953,3669681360.2635517,214319307.35416412
798,2021-06-05 00:00:00+00:00,6516886249.535,3313597350.3996043,3203288899.135395,
799,2021-06-06 00:00:00+00:00,4244733380.8330593,2049267754.378298,2195465626.4547615,
800,2021-06-07 00:00:00+00:00,6899887986.390498,3564578456.552873,3335309529.837625,239613920.12462616
801,2021-06-08 00:00:00+00:00,10168412998.496948,5163079532.901442,5005333465.595506,486095593.510437
802,2021-06-09 00:00:00+00:00,11815749450.064838,5561895081.24888,6253854368.815958,367000274.65114594
803,2021-06-10 00:00:00+00:00,9515179453.133387,4760663979.353176,4754515473.780211,242102556.96201324
804,2021-06-11 00:00:00+00:00,7021754847.918233,3502010764.6325064,3519744083.285726,143508675.20141602
805,2021-06-12 00:00:00+00:00,7592934256.48468,3965581499.5413446,3627352756.943336,
806,2021-06-13 00:00:00+00:00,7632654764.509754,3600122142.6337037,4032532621.8760505,
807,2021-06-14 00:00:00+00:00,10260265443.340803,5067138439.704519,5193127003.636284,323175077.88848877
808,2021-06-15 00:00:00+00:00,7822284295.181975,3918212190.314213,3904072104.8677626,245237017.9573059
809,2021-06-16 00:00:00+00:00,8521169225.445976,4392379294.648474,4128789930.797503,245297874.1607666
810,2021-06-17 00:00:00+00:00,7960259885.5650215,4049813060.9601297,3910446824.6048923,191933275.40531158
811,2021-06-18 00:00:00+00:00,8624196750.400768,4481649754.126405,4142546996.274363,231987034.06066895
812,2021-06-19 00:00:00+00:00,6810362434.196354,3551032117.8886905,3259330316.307664,
813,2021-06-20 00:00:00+00:00,8094396223.207584,4263639601.7242594,3830756621.4833245,
814,2021-06-21 00:00:00+00:00,14786989148.752962,7634872677.812965,7152116470.939996,335524569.241333
815,2021-06-22 00:00:00+00:00,16252244055.80007,8349435885.764146,7902808170.035924,653484509.3399048
816,2021-06-23 00:00:00+00:00,10073545355.947369,4977426581.926679,5096118774.020691,243465419.0208435
817,2021-06-24 00:00:00+00:00,6996522370.611346,3398682036.8576756,3597840333.753671,237640981.89849854
818,2021-06-25 00:00:00+00:00,10452974621.53291,5067088452.523172,5385886169.009738,253396562.7937317
819,2021-06-26 00:00:00+00:00,8676605430.703049,4541533620.770102,4135071809.932947,
820,2021-06-27 00:00:00+00:00,8303563874.728796,4327242212.644898,3976321662.083897,
