DATE,BOGMBASEW_CHG
1997-03-26,0
1997-04-02,3129
1997-04-09,0
1997-04-16,878
1997-04-23,0
1997-04-30,-850
1997-05-07,0
1997-05-14,1018
1997-05-21,0
1997-05-28,3596
1997-06-04,0
1997-06-11,-935
1997-06-18,0
1997-06-25,2306
1997-07-02,0
1997-07-09,4349
1997-07-16,0
1997-07-23,-4352
1997-07-30,0
1997-08-06,2288
1997-08-13,0
1997-08-20,970
1997-08-27,0
1997-09-03,3100
1997-09-10,0
1997-09-17,-3280
1997-09-24,0
1997-10-01,991
1997-10-08,0
1997-10-15,3025
1997-10-22,0
1997-10-29,971
1997-11-05,0
1997-11-12,4494
1997-11-19,0
1997-11-26,4734
1997-12-03,0
1997-12-10,616
1997-12-17,0
1997-12-24,9204
1997-12-31,0
1998-01-07,-1411
1998-01-14,0
1998-01-21,-9943
1998-01-28,0
1998-02-04,-886
1998-02-11,0
1998-02-18,3914
1998-02-25,0
1998-03-04,919
1998-03-11,0
1998-03-18,-85
1998-03-25,0
1998-04-01,1464
1998-04-08,0
1998-04-15,3667
1998-04-22,0
1998-04-29,-2728
1998-05-06,0
1998-05-13,1104
1998-05-20,0
1998-05-27,3508
1998-06-03,0
1998-06-10,-56
1998-06-17,0
1998-06-24,1041
1998-07-01,0
1998-07-08,4602
1998-07-15,0
1998-07-22,-1799
1998-07-29,0
1998-08-05,3535
1998-08-12,0
1998-08-19,-1421
1998-08-26,0
1998-09-02,4378
1998-09-09,0
1998-09-16,309
1998-09-23,0
1998-09-30,1657
1998-10-07,0
1998-10-14,2904
1998-10-21,0
1998-10-28,1086
1998-11-04,0
1998-11-11,3082
1998-11-18,0
1998-11-25,4335
1998-12-02,0
1998-12-09,1750
1998-12-16,0
1998-12-23,6998
1998-12-30,0
1999-01-06,1586
1999-01-13,0
1999-01-20,-6215
1999-01-27,0
1999-02-03,-1670
1999-02-10,0
1999-02-17,3421
1999-02-24,0
1999-03-03,2645
1999-03-10,0
1999-03-17,876
1999-03-24,0
1999-03-31,2406
1999-04-07,0
1999-04-14,1750
1999-04-21,0
1999-04-28,2238
1999-05-05,0
1999-05-12,2402
1999-05-19,0
1999-05-26,3771
1999-06-02,0
1999-06-09,858
1999-06-16,0
1999-06-23,-221
1999-06-30,0
1999-07-07,5121
1999-07-14,0
1999-07-21,-844
1999-07-28,0
1999-08-04,2100
1999-08-11,0
1999-08-18,348
1999-08-25,0
1999-09-01,4153
1999-09-08,0
1999-09-15,2208
1999-09-22,0
1999-09-29,1406
1999-10-06,0
1999-10-13,5730
1999-10-20,0
1999-10-27,4497
1999-11-03,0
1999-11-10,10270
1999-11-17,0
1999-11-24,11169
1999-12-01,0
1999-12-08,10800
1999-12-15,0
1999-12-22,22717
1999-12-29,0
2000-01-05,3238
2000-01-12,0
2000-01-19,-37929
2000-01-26,0
2000-02-02,-10878
2000-02-09,0
